word_count;sentence_count;flesch_reading_ease;gunning_fog;flesch_kincaid_grade;avg_sentence_length;avg_letter_per_word;lexicon_count;figure_count;table_count;section_count;reference_count;doi;preprint_date;preprint_category;published_doi;published_flag;citation_count;influential_citation_count;semantic_year;semantic_journal;status
2057;92;37.24720274795368;17.478101413840758;13.586210003189116;22.22826086956522;5.16919315403423;2045;2;0;7.0;20.0;10.1101/029751;2015-10-23;Neuroscience;;0;7.0;0.0;2015.0;bioRxiv;200
9440;481;29.347255241587504;16.664185876104575;14.019356263787468;19.536382536382536;5.529956369053953;9397;6;1;21.0;102.0;10.1101/029876;2015-10-25;Neuroscience;;0;1115.0;50.0;2015.0;bioRxiv;200
13016;695;42.33918726461363;15.285130042080809;11.962823413488843;18.552517985611512;5.104854971304483;12894;15;0;30.0;53.0;10.1101/031146;2015-11-10;Neuroscience;;0;15.0;2.0;2015.0;bioRxiv;200
7183;428;42.36074348186728;14.878259033679637;11.500412223525151;16.703271028037385;5.303678836200867;7149;13;0;19.0;72.0;10.1101/031765;2015-11-13;Neuroscience;;0;4.0;0.0;2016.0;bioRxiv;200
3738;178;38.70094740786704;16.716670864535786;12.966654584994563;20.55056179775281;4.979496992892291;3658;2;0;12.0;100.0;10.1101/034199;2015-12-10;Neuroscience;;0;2.0;0.0;2015.0;bioRxiv;200
5950;347;31.3846797860881;16.654070219422838;13.093613415492594;16.953890489913544;5.37038925718171;5883;5;1;8.0;47.0;10.1101/035212;2015-12-22;Neuroscience;;0;4.0;0.0;2015.0;bioRxiv;200
9648;386;35.75535532026103;17.391079581067807;14.422372076681338;24.756476683937823;5.096902469652575;9556;7;1;19.0;52.0;10.1101/035451;2015-12-27;Neuroscience;;0;14.0;0.0;2015.0;bioRxiv;200
10644;440;29.58745881907859;18.40935812646047;15.085141435937675;23.96136363636364;5.270321540358531;10543;13;1;33.0;81.0;10.1101/036277;2016-01-08;Neuroscience;;0;1.0;0.0;2016.0;bioRxiv;200
6053;282;15.109262590777348;19.50733867845237;16.44463523812222;21.30496453900709;5.770139813581891;6008;5;0;29.0;33.0;10.1101/036772;2016-01-18;Neuroscience;;0;10.0;0.0;2016.0;bioRxiv;200
7898;333;18.07846713303954;19.79908437513911;16.62615591646379;23.7027027027027;5.683010262257697;7893;6;1;21.0;72.0;10.1101/036905;2016-01-15;Neuroscience;;0;3.0;0.0;2016.0;bioRxiv;200
5582;266;48.91150826210014;15.272491113715848;11.595301323651334;20.76315789473684;4.758464602571067;5523;7;6;10.0;19.0;10.1101/037069;2016-01-17;Neuroscience;;0;22.0;2.0;2016.0;bioRxiv;200
4537;173;26.09071988806963;19.32095426785678;16.12240037582467;26.17341040462428;5.452075971731449;4528;12;0;13.0;26.0;10.1101/037143;2016-01-18;Neuroscience;;0;39.0;0.0;2016.0;eLife;200
